,layer_name,layer_energy,layer_energy_uJ
0,Conv1,4.223465190809033e-05,42.23465190809033
1,Conv2,0.00013911851220410704,139.11851220410705
2,MP1,0.0,0.0
3,Conv3,7.568447307040426e-05,75.68447307040427
4,Conv4,0.00013969416954717992,139.6941695471799
5,MP2,0.0,0.0
6,Conv5,3.7442131598531814e-05,37.442131598531816
7,Conv6,7.427285401450748e-05,74.27285401450747
8,Conv7,7.427285401450748e-05,74.27285401450747
9,MP3,6.712195546026221e-06,6.712195546026221
10,Conv8,2.395455992650211e-05,23.95455992650211
11,Conv9,7.180388720407497e-05,71.80388720407497
12,Conv10,7.194672993825736e-05,71.94672993825736
13,MP4,3.3560977730131106e-06,3.3560977730131105
14,Conv11,1.3763281603389314e-05,13.763281603389315
15,Conv12,1.3616954900080511e-05,13.616954900080511
16,Conv13,1.3616954900080514e-05,13.616954900080515
17,MP5,2.728252567355511e-06,2.728252567355511
18,FC1,2.229925797753194e-05,22.29925797753194
19,Add1,1.6893540944169554e-06,1.6893540944169554
20,FC2,4.0355148941568415e-06,4.035514894156841
21,Add2,1.0717253265705553e-06,1.0717253265705553
22,FC3,1.0081463670486674e-06,1.0081463670486674
23,Add3,2.6711995752359884e-07,0.26711995752359885
